
Position,BKP,Bauteil,Bereichskapitel,Bereichstext
1,101,Rohbau,Bestandesaufnahmen,"Bestandsaufnahmen von Anlagen, die für die Ausführung notwendig sind.Erstellen aller erforderlichen Bestandsaufnahmen für Baugelände, Baugrubensicherung, Nachbaranlagen (Rissprotokolle an Nachbarbauten und Verkehrsanlagen, Gartenanlagen, Einfriedungen und dgl.), Werkleitungen, Kanalisationsleitungen, öffentliche- und private Verkehrsanlagen (Zustand der Strassen, Trottoire und dgl.)"
2,113,Rohbau,Altlasten,"Fachgerechter Rückbau und Beprobung der vorhandenen Altlasten.Alle allfälligen Massnahmen zum Altlastenrückbau und der Entsorgung sind mit einzuberechnen, evtl. ist ein Gutachten zu erstellen?"
3,132,Rohbau,"Baustelleneinrichtungen, Zufahrten, Plätze","Erstellen, Unterhalt und Widerentfernen der für die Bauarbeiten und Betrieb benötigten Zu- und Wegfahrten sowie Plätze. Anpassungen an öffentliches Trottoir, etc. inkl. Instandstellung von Terrain und Strassenbelägen falls erforderlich. Provisorische und definitive Anpassungsarbeiten an eigenen oder fremden Verkehrsanlagen, welche durch das Bauvorhaben tangiert werden, inkl. Reinigung und Unterhalt."
4,132,Rohbau,Baustelleneinrichtungen,"Einrichten und Vorhalten von Lager-, Transport- und Arbeitsstätte, die für den Neubau der Anlage erforderliche sein können. Der Standort muss vor dem errichten mit der Bauleitung vor Ort besprochen werden."
5,134,Übriger Innenausbau,Handwerker,"Es ist zu prüfen ob allfällige Handwerkercontainer, WC-Anlagen, Lager und Umschlagsplätze etc. auch mit Integriert werden sollten."
6,152,Rohbau,Generell,"Wir möchten darauf hinweisen, dass vor der Fertigstellung der Kanalisation eine Abnhame mit der zuständigen Behörde erfolgen muss. Auch sind bei sämtliche Schächte und Leitungen eine Druckprüfung durchzuführen.
Wurde eine Nutzungsvereinbarung wie in der SN 592 000 gefordert erstellt?
Ausführung der Kanalisationsleitungen nach den behördlichen Vorschriften und Richtlinien.Abdichtung der Hauseinführungen gemäss detaillierten Vorgaben des Ingenieurs, bzw. Systemlieferanten."
7,152,Rohbau,Kanalisation,"Wurde das Detail mit der zuständigen Firma für die Abdichtung besprochen und Freigegeben? Aus unserer Sicht sollte dies sicherlich nochmals überprüft werden. Bestenfalls wird die Ausführung mit Pressringe ausgeführt um allfällige Bewegungen aufzunehmen.
Es ist zu prüfen, wie der Anschluss vom Baumeister zum Sanitär ausgeführt wird? Wird der Anschluss für eine Elektromuffe oder Steckmuffe vorbereitet?
Wurde das einzusetzende Material, PE-Rohre oder PP-Leitungen, bereits abgeklärt? Es ist sicherlich auf die Schnittstellen zu achten, und PE-Rohre sind zu bevorzugen, um einen Anschluss mit Elektromuffe zu gewährleisten.
Die Berechnung des Niederschlags wurde noch nach der Alten SN592 000 Norm ausgeführt. Es ist mit der Behörde zu klären ob dies akzeptiert wird.
Wir gehen davon aus, dass es sich hierbei um Sicherheitsrinnen von nicht direkt beregneten Flächen handelt. Der Anschluss der Sicherheitsrinne wurde mit DN60 Rohre ausgeführt. Es ist zu prüfen, den Anschluss mit PE 110mm auszuführen oder susätzliche Spülstutzen für die Reinigung und Unterhalt einzuplanen.
Teils Abzweiger wurden ohne Beruhigungstrecke oder Richtungsänderungen geplant. Wir möchten darauf hinweisen, dass dazwischen hierbei jeweils mind. 3x den Durchmesser der Leitungen eingeplant werden müssen. Siehe SN 592 000 (2024) Abs. 5.2.5.
Aufgrund der Schlammsammlertiefe sollte geprüft werdenden Schacht von 60cm auf 100cm zu vergrössern (Reinigung).
Teils Grundleitungen wurden mit einem Durchmesser von 110mm geplant. Es ist zu prüfen, die Leitungen in 125mm zu Planen «MFH» bessere Reinigungsmöglichkeiten?
Es ist nicht ersichtlich, ob für den Einstieg Steigleitern geplant wurden. Bei den anderen Schächten, wie dem Einsteigschacht oder dem Schlammfang, wurde dies jeweils gekennzeichnet. Grundsätzlich sind ab einer Höhe von 1,2m Steigleitern vorzusehen. Zudem sind bei den Versickerungsanlagen sämtliche Schachtdeckel zu verschrauben und mit der Beschriftung «Versickerung» zu versehen. Bei einer Schachthöhe über 1,5m ist es empfehlenswert, den Schachteinstieg auf 1,0m festzulegen. Der Deckel sollte jeweils ca. 10cm über dem Terrain liegen. Die genauen Vorgaben sind mit der zuständigen Stelle zu klären.
Es ist zu prüfen, den Pumpenschacht so umzuplatzieren, dass dieser nicht auf einem Mietparkplatz liegt (zugänglichkeit Wartung).
Der Standort der Versickerungsanlage ist unter der Bodenplatte nicht Ideal. Es ist zu prüfen, den Standort so zu wählen, dass dies Versickerung in der Umgebung liegt."
8,175,Rohbau,Grundwasserabdichtungen,"Abdichtungskonzept gemäss Bauingenieur.Gemäss Nutzungsvereinbarung Bauingenieur mit dem Datum vom xxxxDefinition der Dichtigkeitsklassen (DK1 und DK2), inkl. allfälligen Nachinjektionen. Inkl. einer 10-jährige Systemgarantie.QualiCasa empfiehlt den Treppenkern und die Technikzentralen in DK1 auszuführen und di Tiefgarage in DK2."
9,201,Rohbau,Baugrubenaushub,"Humusabtrag und maschineller Aushub gemäss Aushubplan, inkl. notwendigen Abtransport auf Deponie inkl. Gebühren. Baugrubenaushub gemäss Konzept und Angaben Bauingenieur. Einbringen der Magerbetonschicht auf Aushubsohle inkl. Fundamentvertiefungen. Hinterfüllen des Bauwerks mit seitlich gelagertem oder zugeführtem, sicker- und verdichtungsfähigem Aushubmaterial.Sämtliche bestehende Werkleitungen, Bäume etc. im und ausserhalb des Gebäudes sind, wenn nötig zu schützen."
10,211,Rohbau,Gerüst,"Notwendige Gerüste für die vertragsgemässe Erstellung des Bauwerkes.Erstellen von leichtem Arbeitsgerüst und Aufgangstreppen inkl. Transport und Miete gemäss SUVA-Vorschrift. Erstellen der erforderlichen Schutzgeländer und Bockgerüste für die Maurer- und Verputzarbeiten gemäss SUVA-Vorschriften. Schlechtwetter- und Kältemassnahmen, falls Qualität oder Bezugstermin gefährdet sind."
